ReferenceDate,Single,Married,Widowed,Divorced,Registered same-sex partnership,Same-sex partnership dissolved,Same-sex partner deceased,Total
1991-12-31,30946691,39011038,6590431,3726404,-,-,-,80274564
1992-12-31,31390819,39241802,6564622,3777389,-,-,-,80974632
1993-12-31,31677162,39258167,6537510,3865254,-,-,-,81338093
1994-12-31,31840613,39222387,6507654,3967949,-,-,-,81538603
1995-12-31,32086658,39173015,6478341,4079485,-,-,-,81817499
1996-12-31,32316847,39053399,6442517,4199399,-,-,-,82012162
1997-12-31,32472590,38840687,6405669,4338433,-,-,-,82057379
1998-12-31,32599758,38592438,6368735,4476080,-,-,-,82037011
1999-12-31,32830596,38455051,6284840,4592988,-,-,-,82163475
2000-12-31,33005201,38233453,6239625,4781261,-,-,-,82259540
2001-12-31,33357587,37867963,6200550,5014209,-,-,-,82440309
2002-12-31,33568439,37595708,6156890,5215643,-,-,-,82536680
2003-12-31,33730286,37256074,6112808,5432503,-,-,-,82531671
2004-12-31,33847383,36991170,6078614,5583682,-,-,-,82500849
2005-12-31,33954150,36678580,6041839,5763426,-,-,-,82437995
2006-12-31,34035672,36339256,6007958,5932020,-,-,-,82314906
2007-12-31,34151629,35992654,5971050,6102497,-,-,-,82217837
2008-12-31,34202862,35612411,5936000,6251083,-,-,-,82002356
2009-12-31,34256808,35279150,5900278,6366021,-,-,-,81802257
2010-12-31,34394615,34974707,5870645,6511635,-,-,-,81751602
2011-12-31,32108352,36557186,5771067,5806624,76678,6563,1430,80327900
2012-12-31,32387674,36374851,5752733,5913370,85334,8055,1729,80523746
2013-12-31,32743749,36175824,5733861,6007246,95257,9482,2044,80767463
2014-12-31,33214565,36048710,5722023,6092354,106112,11331,2442,81197537
2015-12-31,34183334,35993843,5702552,6162947,116883,13157,2968,82175684
2016-12-31,34663318,35817341,5685734,6207699,128712,15318,3531,82521653
2017-12-31,35074789,35680049,5661234,6217800,136953,17419,4107,82792351
2018-12-31,35450116,35579183,5637148,6236753,92272,19216,4525,83019213
2019-12-31,35791445,35473315,5621393,6280558,-,-,-,83166711
2020-12-31,36085603,35165151,5597892,6306385,-,-,-,83155031
