ReferenceDate,Germans,Foreigners,Total
1970-12-31,58263259,2737905,61001164
1971-12-31,58314646,3187857,61502503
1972-12-31,58255300,3554078,61809378
1973-12-31,58110017,3991352,62101369
1974-12-31,57940513,4050962,61991475
1975-12-31,57744140,3900484,61644624
1976-12-31,57589814,3852182,61441996
1977-12-31,57460519,3892226,61352745
1978-12-31,57315844,4005819,61321663
1979-12-31,57188694,4250648,61439342
1980-12-31,57091778,4566167,61657945
1981-12-31,56991569,4721120,61712689
1982-12-31,56874263,4671838,61546101
1983-12-31,56732513,4574156,61306669
1984-12-31,56643793,4405463,61049256
1985-12-31,56538856,4481618,61020474
1986-12-31,56478581,4661880,61140461
1987-12-31,56951607,4286472,61238079
1988-12-31,57091575,4623528,61715103
1989-12-31,57671874,5007161,62679035
1990-12-31,74170870,5582357,79753227
1991-12-31,74207834,6066730,80274564
1992-12-31,74305064,6669568,80974632
1993-12-31,74360618,6977475,81338093
1994-12-31,74420863,7117740,81538603
1995-12-31,74474720,7342779,81817499
1996-12-31,74520512,7491650,82012162
1997-12-31,74638378,7419001,82057379
1998-12-31,74728534,7308477,82037011
1999-12-31,74827364,7336111,82163475
2000-12-31,74991972,7267568,82259540
2001-12-31,75122046,7318263,82440309
2002-12-31,75188729,7347951,82536680
2003-12-31,75189851,7341820,82531671
2004-12-31,75212869,7287980,82500849
2005-12-31,75148846,7289149,82437995
2006-12-31,75058957,7255949,82314906
2007-12-31,74962442,7255395,82217837
2008-12-31,74816435,7185921,82002356
2009-12-31,74671338,7130919,81802257
2010-12-31,74552656,7198946,81751602
2011-12-31,73985506,6342394,80327900
2012-12-31,73880047,6643699,80523746
2013-12-31,73752227,7015236,80767463
2014-12-31,73657763,7539774,81197537
2015-12-31,73523726,8651958,82175684
2016-12-31,73301664,9219989,82521653
2017-12-31,73113483,9678868,82792351
2018-12-31,72929921,10089292,83019213
2019-12-31,72768689,10398022,83166711
2020-12-31,72569978,10585053,83155031
