Region/Country/Area,,Year,Series,Value,Footnotes,Source,,
1,"Total, all countries or areas",2005,International migrant stock: Both sexes (number),191446828,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
1,"Total, all countries or areas",2005,International migrant stock: Both sexes (% total population),2.9,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
1,"Total, all countries or areas",2005,International migrant stock: Male (% total Population),3,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
1,"Total, all countries or areas",2005,International migrant stock: Female (% total Population),2.9,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
1,"Total, all countries or areas",2010,International migrant stock: Both sexes (number),220983187,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
1,"Total, all countries or areas",2010,International migrant stock: Both sexes (% total population),3.2,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
1,"Total, all countries or areas",2010,International migrant stock: Male (% total Population),3.2,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
1,"Total, all countries or areas",2010,International migrant stock: Female (% total Population),3.1,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
1,"Total, all countries or areas",2015,International migrant stock: Both sexes (number),247958644,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
1,"Total, all countries or areas",2015,International migrant stock: Both sexes (% total population),3.4,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
1,"Total, all countries or areas",2015,International migrant stock: Male (% total Population),3.4,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
1,"Total, all countries or areas",2015,International migrant stock: Female (% total Population),3.3,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
1,"Total, all countries or areas",2015,Total refugees and people in refugee-like situations (number),15097633,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2021.",,
