Region/Country/Area,,Year,Series,Value,Footnotes,Source,
0,Total,1975,Net official development assistance to developing countries and multilateral organizations (millions of US$),20183,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
0,Total,1985,Net official development assistance to developing countries and multilateral organizations (millions of US$),33855,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
0,Total,1995,Net official development assistance to developing countries and multilateral organizations (millions of US$),65424,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
0,Total,2005,Net official development assistance to developing countries and multilateral organizations (millions of US$),120771,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
0,Total,2010,Net official development assistance to developing countries and multilateral organizations (millions of US$),147644,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
0,Total,2015,Net official development assistance to developing countries and multilateral organizations (millions of US$),156882,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
0,Total,2018,Net official development assistance to developing countries and multilateral organizations (millions of US$),187502,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
0,Total,2019,Net official development assistance to developing countries and multilateral organizations (millions of US$),178601,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
0,Total,2020,Net official development assistance to developing countries and multilateral organizations (millions of US$),195199,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
593,DAC total,1975,Net official development assistance to developing countries and multilateral organizations (millions of US$),13315,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
593,DAC total,1985,Net official development assistance to developing countries and multilateral organizations (millions of US$),28858,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
593,DAC total,1995,Net official development assistance to developing countries and multilateral organizations (millions of US$),58896,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
593,DAC total,2005,Net official development assistance to developing countries and multilateral organizations (millions of US$),108397,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
593,DAC total,2010,Net official development assistance to developing countries and multilateral organizations (millions of US$),128484,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
593,DAC total,2015,Net official development assistance to developing countries and multilateral organizations (millions of US$),131563,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
593,DAC total,2018,Net official development assistance to developing countries and multilateral organizations (millions of US$),150059,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
593,DAC total,2019,Net official development assistance to developing countries and multilateral organizations (millions of US$),146482,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
593,DAC total,2020,Net official development assistance to developing countries and multilateral organizations (millions of US$),161027,Estimate.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
593,DAC total,1975,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.34,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
593,DAC total,1985,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.33,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
593,DAC total,1995,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.26,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
593,DAC total,2005,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.32,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
593,DAC total,2010,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.31,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
593,DAC total,2015,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.3,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
36,Australia,1975,Net official development assistance to developing countries and multilateral organizations (millions of US$),552,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
36,Australia,1985,Net official development assistance to developing countries and multilateral organizations (millions of US$),749,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
36,Australia,1995,Net official development assistance to developing countries and multilateral organizations (millions of US$),1194,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
