Region/Country/Area,,Year,Series,Value,Footnotes,Source,
1,"Total, all countries or areas",1985,Net official development assistance received: Bilateral  (millions of US dollars),25604,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
1,"Total, all countries or areas",1995,Net official development assistance received: Bilateral  (millions of US dollars),46875,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
1,"Total, all countries or areas",2005,Net official development assistance received: Bilateral  (millions of US dollars),81833,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
1,"Total, all countries or areas",2010,Net official development assistance received: Bilateral  (millions of US dollars),92131,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
1,"Total, all countries or areas",2015,Net official development assistance received: Bilateral  (millions of US dollars),111374,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
1,"Total, all countries or areas",2017,Net official development assistance received: Bilateral  (millions of US dollars),123661,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
1,"Total, all countries or areas",2018,Net official development assistance received: Bilateral  (millions of US dollars),123214,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
1,"Total, all countries or areas",2019,Net official development assistance received: Bilateral  (millions of US dollars),122678,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
1,"Total, all countries or areas",1985,Net official development assistance received: Multilateral (millions of US dollars),5920,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
1,"Total, all countries or areas",1995,Net official development assistance received: Multilateral (millions of US dollars),11004,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
1,"Total, all countries or areas",2005,Net official development assistance received: Multilateral (millions of US dollars),25620,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
1,"Total, all countries or areas",2010,Net official development assistance received: Multilateral (millions of US dollars),37133,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
1,"Total, all countries or areas",2015,Net official development assistance received: Multilateral (millions of US dollars),35368,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
1,"Total, all countries or areas",2017,Net official development assistance received: Multilateral (millions of US dollars),41429,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
1,"Total, all countries or areas",2018,Net official development assistance received: Multilateral (millions of US dollars),44346,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
1,"Total, all countries or areas",2019,Net official development assistance received: Multilateral (millions of US dollars),40826,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
1,"Total, all countries or areas",1985,Net official development assistance received: Total (millions of US dollars),31524,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
1,"Total, all countries or areas",1995,Net official development assistance received: Total (millions of US dollars),57879,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
1,"Total, all countries or areas",2005,Net official development assistance received: Total (millions of US dollars),107452,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
1,"Total, all countries or areas",2010,Net official development assistance received: Total (millions of US dollars),129264,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
1,"Total, all countries or areas",2015,Net official development assistance received: Total (millions of US dollars),146742,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
1,"Total, all countries or areas",2017,Net official development assistance received: Total (millions of US dollars),165090,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
1,"Total, all countries or areas",2018,Net official development assistance received: Total (millions of US dollars),167560,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
