Country or Area,Year,Value,Value Footnotes,Unit
Albania,2015,82,,%
Albania,2014,81,,%
Algeria,2015,98,,%
Algeria,2014,98,,%
Algeria,2013,98,,%
Algeria,2012,98,,%
Algeria,2011,96.5,,%
Algeria,2010,96,,%
Algeria,2009,96,,%
Algeria,2008,95,,%
Algeria,2007,95,,%
Algeria,2006,90,,%
Algeria,2005,90,,%
Algeria,2004,88,,%
Algeria,2003,86,,%
Algeria,2002,86,,%
Algeria,2001,84,,%
Algeria,2000,84,,%
Andorra,2015,100,,%
Andorra,2014,100,,%
Andorra,2013,100,,%
Andorra,2012,100,,%
Andorra,2011,100,,%
Andorra,2010,100,,%
Andorra,2009,100,,%
Andorra,2008,100,,%
Andorra,2007,100,,%
Andorra,2006,100,,%
Andorra,2005,100,,%
Andorra,2004,100,,%
Andorra,2003,100,,%
Andorra,2002,100,,%
Andorra,2001,100,,%
Andorra,2000,100,,%
Andorra,1999,100,,%
Andorra,1998,100,,%
Andorra,1997,100,,%
Andorra,1996,100,,%
Andorra,1995,100,,%
Andorra,1990,100,,%
Angola,2011,15.3000001907349,,%
Antigua and Barbuda,2011,82,,%
Armenia,2015,97.3000030517578,,%
Armenia,2014,98.3000030517578,,%
Armenia,2013,98.6999969482422,,%
Armenia,2012,96.5999984741211,,%
Armenia,2011,97.5,,%
Armenia,2010,97,,%
Armenia,2009,97.5999984741211,,%
Armenia,2008,97,,%
Armenia,2007,94.0999984741211,,%
Armenia,2006,91.3000030517578,,%
Armenia,2005,89.4000015258789,,%
Armenia,2004,88.9000015258789,,%
Armenia,2003,87.3000030517578,,%
Armenia,2002,84.0999984741211,,%
Armenia,2001,84.6999969482422,,%
Armenia,2000,87.5999984741211,,%
Armenia,1998,88.1999969482422,,%
Armenia,1996,88.0999984741211,,%
Austria,2008,95.0999984741211,,%
Austria,2002,89.5999984741211,,%
Austria,2001,89.1999969482422,,%
Austria,2000,88.9000015258789,,%
Azerbaijan,2015,48.4000015258789,,%
Azerbaijan,2014,46.2999992370605,,%
Azerbaijan,2013,45.7000007629395,,%
Azerbaijan,2012,45.2000007629395,,%
Azerbaijan,2011,45,,%
Azerbaijan,2010,44.7999992370605,,%
Azerbaijan,2009,44.5999984741211,,%
Azerbaijan,2008,42.4000015258789,,%
Azerbaijan,2007,42.2000007629395,,%
Azerbaijan,2006,42,,%
Azerbaijan,2005,41.5999984741211,,%
Bahrain,2015,99.3000030517578,,%
Bahrain,2014,99.9000015258789,,%
Bahrain,2013,99.5999984741211,,%
Bahrain,2012,99.5999984741211,,%
Bahrain,2011,99,,%
Bahrain,2010,99.4000015258789,,%
Bahrain,2009,99.1999969482422,,%
Bahrain,2008,99.6999969482422,,%
Bahrain,2007,99,,%
Bahrain,2006,99,,%
Bahrain,2005,99,,%
Bahrain,2004,99,,%
Belgium,2009,100,,%
Belgium,2008,100,,%
Belgium,2007,100,,%
Belgium,2006,98.5,,%
Belgium,2005,94.5999984741211,,%
Belgium,2004,97.5,,%
Belgium,2003,96.9000015258789,,%
Belgium,2002,97,,%
Belgium,2001,96.6999969482422,,%
Belgium,2000,95.1999969482422,,%
Belize,2012,57.5504989624023,,%
Belize,2011,57.4020004272461,,%
Belize,2010,57.3250999450684,,%
Belize,2009,56.8400001525879,,%
Belize,2008,56.9070014953613,,%
Belize,2007,57.0026016235352,,%
Belize,2006,57.1236991882324,,%
Belize,2005,57.2673988342285,,%
Belize,2004,57.4311981201172,,%
Belize,2003,57.6130981445313,,%
Belize,2002,57.8111000061035,,%
Belize,2001,58.0234985351563,,%
Belize,2000,57.3855094909668,,%
Belize,1999,57.2985534667969,,%
Bolivia (Plurinational State of),2015,84.7202301025391,1,%
Bolivia (Plurinational State of),2014,83.8556747436523,1,%
Bolivia (Plurinational State of),2013,82.2995986938477,1,%
Bolivia (Plurinational State of),2012,80.7538452148438,2,%
Bolivia (Plurinational State of),2011,69.1439514160156,3,%
Bolivia (Plurinational State of),2009,65.2014617919922,3,%
Bolivia (Plurinational State of),2008,74.7856826782227,3,%
Bolivia (Plurinational State of),2007,79.706901550293,3,%
Bolivia (Plurinational State of),2006,77.4311752319336,3,%
Bolivia (Plurinational State of),2005,75.7699966430664,3,%
Bolivia (Plurinational State of),2003,73.0713729858398,"3,2",%
Bolivia (Plurinational State of),2002,71.4000015258789,3,%
Bolivia (Plurinational State of),2001,73.2549209594727,3,%
Bolivia (Plurinational State of),2000,76.1562881469727,3,%
Bolivia (Plurinational State of),1999,71.2951126098633,3,%
Bolivia (Plurinational State of),1998,76.4308929443359,3,%
Bolivia (Plurinational State of),1997,72.3628921508789,3,%
Bolivia (Plurinational State of),1996,71.3878326416016,3,%
Bosnia and Herzegovina,2015,59.3547019958496,,%
Bosnia and Herzegovina,2014,59.18701171875,,%
Bosnia and Herzegovina,2013,57.1699523925781,,%
Bosnia and Herzegovina,2012,55.1725234985352,,%
Bosnia and Herzegovina,2011,53.1792602539063,,%
Bosnia and Herzegovina,2010,51.2034645080566,,%
Bosnia and Herzegovina,2009,49.2691802978516,,%
Bosnia and Herzegovina,2008,46.5400505065918,,%
Bosnia and Herzegovina,2007,45.6763610839844,,%
Bosnia and Herzegovina,2006,44.86376953125,,%
Bosnia and Herzegovina,2005,44.7475891113281,,%
Bosnia and Herzegovina,2004,43.5198135375977,,%
Bosnia and Herzegovina,2003,43.75,,%
Bosnia and Herzegovina,2002,41.9270820617676,,%
Bosnia and Herzegovina,2001,38.28125,,%
Bosnia and Herzegovina,2000,36.4583320617676,,%
Bosnia and Herzegovina,1990,56,,%
Botswana,2006,96,,%
Botswana,2004,95.8000030517578,,%
Botswana,2001,87,,%
Brazil,2013,79.5999984741211,4,%
Brazil,2012,79.9000015258789,5,%
Brazil,2011,66.9000015258789,,%
Brazil,2010,65.0999984741211,,%
Brazil,2009,66.0999984741211,,%
Brazil,2008,65.0999984741211,,%
Brazil,2007,64.9000015258789,,%
Brazil,2006,64.3000030517578,,%
Brazil,2005,66.5,,%
Brazil,2004,66,,%
Brazil,2003,66.0999984741211,,%
Brazil,2002,65.3099975585938,,%
Brazil,2001,64.6999969482422,,%
British Virgin Islands,2001,48.4000015258789,,%
British Virgin Islands,1991,26.5,,%
Bulgaria,2015,99.3300018310547,6,%
Bulgaria,2014,99.3099975585938,6,%
Bulgaria,2013,99.2799987792969,6,%
Bulgaria,2012,99.2600021362305,6,%
Bulgaria,2011,99.1900024414063,6,%
Bulgaria,2010,98.9599990844727,6,%
Bulgaria,2009,99,,%
Bulgaria,2008,99,,%
Bulgaria,2007,99,,%
Bulgaria,2006,98.9000015258789,,%
Bulgaria,2005,98.9000015258789,,%
Bulgaria,2004,98.9000015258789,,%
Bulgaria,2003,98.9000015258789,,%
Bulgaria,2002,98.9000015258789,,%
Bulgaria,2001,98.9000015258789,,%
Bulgaria,2000,98.5999984741211,,%
Bulgaria,1995,98.6999969482422,,%
Bulgaria,1990,98.6999969482422,,%
Cabo Verde,2015,83.4000015258789,7,%
Cabo Verde,2014,83.6999969482422,7,%
Cabo Verde,2013,84.4000015258789,7,%
Cabo Verde,2012,85.4000015258789,7,%
Cabo Verde,2010,83.5999984741211,7,%
Cabo Verde,2007,85.3000030517578,7,%
Cabo Verde,2000,78.0999984741211,7,%
Cabo Verde,1990,65.1999969482422,7,%
Cameroon,2007,43.9000015258789,,%
Central African Republic,2009,30,,%
"China, Hong Kong Special Administrative Region",2015,99.9899978637695,,%
"China, Hong Kong Special Administrative Region",2014,99.9000015258789,,%
"China, Hong Kong Special Administrative Region",2013,99.9000015258789,,%
"China, Hong Kong Special Administrative Region",2012,99.9000015258789,,%
"China, Hong Kong Special Administrative Region",2011,99.9000015258789,,%
"China, Hong Kong Special Administrative Region",2010,99.9000015258789,,%
"China, Hong Kong Special Administrative Region",2009,99.9000015258789,,%
"China, Hong Kong Special Administrative Region",2008,99.9000015258789,,%
"China, Hong Kong Special Administrative Region",2007,99.9000015258789,,%
"China, Hong Kong Special Administrative Region",2006,99.9000015258789,,%
"China, Hong Kong Special Administrative Region",2005,99.9000015258789,,%
"China, Hong Kong Special Administrative Region",2004,99.9000015258789,,%
"China, Hong Kong Special Administrative Region",2003,99.9000015258789,,%
"China, Hong Kong Special Administrative Region",2002,99.9000015258789,,%
"China, Hong Kong Special Administrative Region",2001,99.9000015258789,,%
"China, Hong Kong Special Administrative Region",2000,99.9000015258789,,%
"China, Hong Kong Special Administrative Region",1999,99.9000015258789,,%
"China, Hong Kong Special Administrative Region",1995,99.9000015258789,,%
"China, Hong Kong Special Administrative Region",1990,99.9000015258789,,%
"China, Macao Special Administrative Region",2015,100,,%
"China, Macao Special Administrative Region",2014,100,,%
"China, Macao Special Administrative Region",2013,100,,%
"China, Macao Special Administrative Region",2012,100,,%
"China, Macao Special Administrative Region",2011,100,,%
"China, Macao Special Administrative Region",1996,99.5999984741211,,%
"China, Macao Special Administrative Region",1995,99.5999984741211,,%
Costa Rica,2015,94.9122314453125,,%
Costa Rica,2014,95.0725860595703,,%
Costa Rica,2013,94.6040191650391,,%
Costa Rica,2012,92.6900024414063,,%
Costa Rica,2011,91.8499984741211,,%
Costa Rica,2010,90.7300033569336,,%
Costa Rica,2009,95.1999969482422,,%
Costa Rica,2008,94.6900024414063,8,%
Croatia,2011,85.5,,%
Cuba,2015,95.5,,%
Cuba,2014,95.1999969482422,,%
Cuba,2013,93.5999984741211,,%
Cuba,2012,93.4000015258789,,%
Cuba,2011,92.4000015258789,,%
Cuba,2010,92.6999969482422,,%
Cuba,2009,94.5,,%
