Region/Country/Area,,Year,Series,Value,Footnotes,Source
1,"Total, all countries or areas",2005,Land area (thousand hectares),13010620,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2021."
1,"Total, all countries or areas",2005,Arable land (thousand hectares),1365738,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2021."
1,"Total, all countries or areas",2005,Permanent crops (thousand hectares),145681,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2021."
1,"Total, all countries or areas",2005,Forest cover (thousand hectares),4132183,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2021."
1,"Total, all countries or areas",2005,Arable land (% of total land area),10.5,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2021."
1,"Total, all countries or areas",2005,Permanent crops (% of total land area),1.1,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2021."
1,"Total, all countries or areas",2005,Forest cover (% of total land area),31.8,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2021."
1,"Total, all countries or areas",2005,Important sites for terrestrial biodiversity protected (% of total sites protected),35.35,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2021."
1,"Total, all countries or areas",2010,Land area (thousand hectares),13008536,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2021."
1,"Total, all countries or areas",2010,Arable land (thousand hectares),1361130,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2021."
1,"Total, all countries or areas",2010,Permanent crops (thousand hectares),158427,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2021."
1,"Total, all countries or areas",2010,Forest cover (thousand hectares),4106317,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2021."
1,"Total, all countries or areas",2010,Arable land (% of total land area),10.5,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2021."
1,"Total, all countries or areas",2010,Permanent crops (% of total land area),1.2,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2021."
1,"Total, all countries or areas",2010,Forest cover (% of total land area),31.6,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2021."
1,"Total, all countries or areas",2010,Important sites for terrestrial biodiversity protected (% of total sites protected),40.04,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2021."
1,"Total, all countries or areas",2018,Land area (thousand hectares),13028122,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2021."
1,"Total, all countries or areas",2018,Arable land (thousand hectares),1394979,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2021."
1,"Total, all countries or areas",2018,Permanent crops (thousand hectares),169942,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2021."
1,"Total, all countries or areas",2018,Forest cover (thousand hectares),4068923,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2021."
1,"Total, all countries or areas",2018,Arable land (% of total land area),10.7,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2021."
1,"Total, all countries or areas",2018,Permanent crops (% of total land area),1.3,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2021."
1,"Total, all countries or areas",2018,Forest cover (% of total land area),31.2,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2021."
1,"Total, all countries or areas",2018,Important sites for terrestrial biodiversity protected (% of total sites protected),43.06,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2021."
1,"Total, all countries or areas",2020,Important sites for terrestrial biodiversity protected (% of total sites protected),43.17,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2021."
2,Africa,2005,Land area (thousand hectares),2977754,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2021."
2,Africa,2005,Arable land (thousand hectares),215651,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2021."
2,Africa,2005,Permanent crops (thousand hectares),30854,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2021."
2,Africa,2005,Forest cover (thousand hectares),693032,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2021."
2,Africa,2005,Arable land (% of total land area),7.2,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2021."
2,Africa,2005,Permanent crops (% of total land area),1,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2021."
2,Africa,2005,Forest cover (% of total land area),23.3,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2021."
2,Africa,2010,Land area (thousand hectares),2977819,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2021."
2,Africa,2010,Arable land (thousand hectares),225759,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2021."
2,Africa,2010,Permanent crops (thousand hectares),33511,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2021."
2,Africa,2010,Forest cover (thousand hectares),676015,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2021."
2,Africa,2010,Arable land (% of total land area),7.6,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2021."
2,Africa,2010,Permanent crops (% of total land area),1.1,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2021."
