Region/Country/Area,,Year,Series,National currency,National currency footnote,Value,Footnotes,Source
4,Afghanistan,1995,Exchange rates: end of period (national currency per US dollar),Afghani (AFN),,47.5,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
4,Afghanistan,2005,Exchange rates: end of period (national currency per US dollar),Afghani (AFN),,50.4,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
4,Afghanistan,2010,Exchange rates: end of period (national currency per US dollar),Afghani (AFN),,45.3,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
4,Afghanistan,2015,Exchange rates: end of period (national currency per US dollar),Afghani (AFN),,68.1,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
4,Afghanistan,2017,Exchange rates: end of period (national currency per US dollar),Afghani (AFN),,69.5,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
4,Afghanistan,2018,Exchange rates: end of period (national currency per US dollar),Afghani (AFN),,75,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
4,Afghanistan,2019,Exchange rates: end of period (national currency per US dollar),Afghani (AFN),,78.4,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
4,Afghanistan,2020,Exchange rates: end of period (national currency per US dollar),Afghani (AFN),,77.1,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
4,Afghanistan,1995,Exchange rates: period average (national currency per US dollar),,,36.6,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
4,Afghanistan,2005,Exchange rates: period average (national currency per US dollar),,,49.5,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
4,Afghanistan,2010,Exchange rates: period average (national currency per US dollar),,,46.5,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
4,Afghanistan,2015,Exchange rates: period average (national currency per US dollar),,,61.1,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
