"Country or Area","Year","Value"
"Australia","2019","545152.517975278"
"Australia","2018","549731.942122923"
"Australia","2017","549330.021694633"
"Australia","2016","542287.865347481"
"Australia","2015","533063.831868562"
"Australia","2014","524709.397343331"
"Australia","2013","530311.913740354"
"Australia","2012","539511.054796992"
"Australia","2011","537205.495236413"
"Australia","2010","535549.224196195"
"Australia","2009","540381.618373708"
"Australia","2008","537262.311990541"
"Australia","2007","534417.835021602"
"Australia","2006","528038.421581892"
"Australia","2005","524211.488965003"
"Australia","2004","517726.513518175"
"Australia","2003","500599.961947057"
"Australia","2002","499190.485125836"
"Australia","2001","495604.310396663"
"Australia","2000","487777.762806434"
"Australia","1999","476391.986612509"
"Australia","1998","469751.524150252"
"Australia","1997","456015.976421891"
"Australia","1996","443928.268203045"
"Australia","1995","437276.554470528"
"Australia","1994","428818.220666782"
"Australia","1993","428337.072226758"
"Australia","1992","427426.084254575"
"Australia","1991","423733.063875685"
"Australia","1990","423672.224545862"
"Austria","2019","79842.2526454428"
"Austria","2018","78627.637463622"
"Austria","2017","81862.4974062071"
"Austria","2016","79471.0084930508"
"Austria","2015","78462.2325972447"
"Austria","2014","76238.6699808144"
"Austria","2013","79817.1740579855"
"Austria","2012","79432.3795290622"
"Austria","2011","82127.0258881262"
"Austria","2010","84336.717724533"
"Austria","2009","79779.0725901318"
"Austria","2008","86440.2107237771"
"Austria","2007","86983.9414945287"
"Austria","2006","89728.7820441705"
"Austria","2005","92147.2855770051"
"Austria","2004","90985.2342096688"
"Austria","2003","91306.7154290499"
"Austria","2002","85815.0591571954"
"Austria","2001","84064.7193754262"
"Austria","2000","80129.4314440238"
"Austria","1999","79898.3650887788"
"Austria","1998","81432.8496014841"
"Austria","1997","82116.2292533559"
"Austria","1996","82452.5892874996"
"Austria","1995","79237.9773040888"
"Austria","1994","75958.3025775219"
"Austria","1993","75709.1891514719"
"Austria","1992","75469.2711574783"
"Austria","1991","82082.331738836"
"Austria","1990","78420.4853134731"
"Belarus","2019","90115.6955097102"
"Belarus","2018","89064.611079601"
"Belarus","2017","88542.2037480393"
"Belarus","2016","87745.0205463994"
"Belarus","2015","85975.4541149353"
"Belarus","2014","91040.7018092317"
"Belarus","2013","92264.2283155788"
"Belarus","2012","91370.7063983678"
"Belarus","2011","90342.2958447634"
"Belarus","2010","90694.7967561782"
"Belarus","2009","88814.4925487822"
"Belarus","2008","92953.3731918121"
"Belarus","2007","90117.0102688889"
"Belarus","2006","90642.0876425689"
"Belarus","2005","86798.6889038995"
"Belarus","2004","84704.1533347764"
"Belarus","2003","80448.4384545558"
"Belarus","2002","78363.7893196064"
"Belarus","2001","79870.104528206"
"Belarus","2000","79717.0832519988"
"Belarus","1999","80057.9329994474"
"Belarus","1998","86361.8924171182"
"Belarus","1997","85109.9797606309"
"Belarus","1996","84297.3568409132"
"Belarus","1995","83442.9422805277"
"Belarus","1994","89779.8931924119"
"Belarus","1993","106923.594821131"
"Belarus","1992","120140.776289771"
"Belarus","1991","130840.885347005"
"Belarus","1990","139151.985635581"
"Belgium","2019","116651.489106771"
"Belgium","2018","117894.737828469"
"Belgium","2017","117424.30291644"
"Belgium","2016","117689.179213263"
"Belgium","2015","118959.981401646"
"Belgium","2014","114731.995510673"
"Belgium","2013","120443.490023094"
"Belgium","2012","120385.712201124"
"Belgium","2011","123134.281667017"
"Belgium","2010","133633.523202562"
"Belgium","2009","126325.021889627"
"Belgium","2008","138980.223062416"
"Belgium","2007","139071.662079489"
"Belgium","2006","142720.48278808"
"Belgium","2005","145561.698162783"
"Belgium","2004","148554.793362492"
"Belgium","2003","147713.445577613"
"Belgium","2002","147412.689540777"
"Belgium","2001","147324.61203195"
"Belgium","2000","148882.926232578"
"Belgium","1999","147789.333882851"
"Belgium","1998","154021.163362331"
"Belgium","1997","148852.497393644"
"Belgium","1996","157323.924537321"
"Belgium","1995","153616.789995408"
"Belgium","1994","151497.122984918"
"Belgium","1993","146897.392098987"
"Belgium","1992","148039.147330743"
"Belgium","1991","148439.217438971"
"Belgium","1990","145719.486913413"
"Bulgaria","2019","55955.2765321744"
