"Country or Area","Currency","ISIC Rev 3","Year","Measure","Value","Value Footnotes"
"Afghanistan ","Afghani","154 Other food products","2011","Wages and salaries paid to employees","335228000",""
"Afghanistan ","Afghani","154 Other food products","2010","Wages and salaries paid to employees","322938000",""
"Afghanistan ","Afghani","154 Other food products","2009","Wages and salaries paid to employees","343440000",""
"Afghanistan ","Afghani","154 Other food products","2008","Wages and salaries paid to employees","322376000",""
"Afghanistan ","Afghani","154 Other food products","2007","Wages and salaries paid to employees","305280000",""
"Afghanistan ","Afghani","1722 Carpets and rugs","2011","Wages and salaries paid to employees","468745000",""
"Afghanistan ","Afghani","1722 Carpets and rugs","2010","Wages and salaries paid to employees","450120000",""
"Afghanistan ","Afghani","1722 Carpets and rugs","2009","Wages and salaries paid to employees","438969000",""
"Afghanistan ","Afghani","1722 Carpets and rugs","2008","Wages and salaries paid to employees","423324000",""
"Afghanistan ","Afghani","1722 Carpets and rugs","2007","Wages and salaries paid to employees","385920000",""
"Afghanistan ","Afghani","2029 Other wood products; articles of cork/straw","2011","Wages and salaries paid to employees","96102000",""
"Afghanistan ","Afghani","2029 Other wood products; articles of cork/straw","2010","Wages and salaries paid to employees","92730000",""
"Afghanistan ","Afghani","2029 Other wood products; articles of cork/straw","2009","Wages and salaries paid to employees","95202000",""
"Afghanistan ","Afghani","2029 Other wood products; articles of cork/straw","2008","Wages and salaries paid to employees","96672000",""
"Afghanistan ","Afghani","2029 Other wood products; articles of cork/straw","2007","Wages and salaries paid to employees","92160000",""
"Afghanistan ","Afghani","221 Publishing","2011","Wages and salaries paid to employees","158893000",""
"Afghanistan ","Afghani","221 Publishing","2010","Wages and salaries paid to employees","152262000",""
"Afghanistan ","Afghani","221 Publishing","2009","Wages and salaries paid to employees","145644000",""
"Afghanistan ","Afghani","221 Publishing","2008","Wages and salaries paid to employees","140148000",""
"Afghanistan ","Afghani","221 Publishing","2007","Wages and salaries paid to employees","131904000",""
"Afghanistan ","Afghani","242 Other chemicals","2011","Wages and salaries paid to employees","146512000",""
"Afghanistan ","Afghani","242 Other chemicals","2010","Wages and salaries paid to employees","140646000",""
"Afghanistan ","Afghani","242 Other chemicals","2009","Wages and salaries paid to employees","135028000",""
"Afghanistan ","Afghani","242 Other chemicals","2008","Wages and salaries paid to employees","130536000",""
"Afghanistan ","Afghani","242 Other chemicals","2007","Wages and salaries paid to employees","110592000",""
"Afghanistan ","Afghani","2520 Plastic products","2011","Wages and salaries paid to employees","136868000",""
"Afghanistan ","Afghani","2520 Plastic products","2010","Wages and salaries paid to employees","132066000",""
"Afghanistan ","Afghani","2520 Plastic products","2009","Wages and salaries paid to employees","129168000",""
"Afghanistan ","Afghani","2520 Plastic products","2008","Wages and salaries paid to employees","124236000",""
"Afghanistan ","Afghani","2520 Plastic products","2007","Wages and salaries paid to employees","132480000",""
"Afghanistan ","Afghani","2695 Articles of concrete, cement and plaster","2011","Wages and salaries paid to employees","377086000",""
