"Country or Area","Year","Unit","Value","Value Footnotes"
"Albania","2003","Thousand metric tons","0",""
"Albania","2002","Thousand metric tons","0",""
"Albania","2001","Thousand metric tons","0.2","1,2"
"Albania","2000","Thousand metric tons","0.206","1,2"
"Albania","1999","Thousand metric tons","0.45","1,2"
"Albania","1998","Thousand metric tons","0.4","1,2"
"Albania","1997","Thousand metric tons","0.385","2"
"Albania","1996","Thousand metric tons","0.685","2"
"Albania","1995","Thousand metric tons","0.599","2"
"Algeria","1997","Thousand metric tons","0","2"
"Algeria","1996","Thousand metric tons","0","2"
"Algeria","1995","Thousand metric tons","0","2"
"Angola","2016","Thousand metric tons","1.188612",""
"Angola","2015","Thousand metric tons","1.233",""
"Angola","2014","Thousand metric tons","1.826",""
"Angola","2013","Thousand metric tons","1.711",""
"Angola","2012","Thousand metric tons","1.715",""
"Angola","2011","Thousand metric tons","1.719",""
"Angola","2010","Thousand metric tons","1.723",""
"Angola","2009","Thousand metric tons","1.727",""
"Angola","2008","Thousand metric tons","1.731",""
"Angola","2007","Thousand metric tons","1.735",""
"Angola","2006","Thousand metric tons","1.739",""
"Angola","2005","Thousand metric tons","1.743",""
"Angola","2004","Thousand metric tons","1.747",""
"Angola","2003","Thousand metric tons","36.173","2"
"Angola","2002","Thousand metric tons","43.886","2"
"Angola","2001","Thousand metric tons","49","1,2"
"Angola","2000","Thousand metric tons","49.58","2"
"Angola","1999","Thousand metric tons","41.534","2"
"Angola","1998","Thousand metric tons","56.197","2"
"Angola","1997","Thousand metric tons","27.222","2"
"Angola","1996","Thousand metric tons","12.211","2"
"Angola","1995","Thousand metric tons","22.841","2"
"Antigua and Barbuda","1997","Thousand metric tons","1.203",""
"Antigua and Barbuda","1996","Thousand metric tons","1.022",""
"Argentina","2003","Thousand metric tons","276.537","2"
"Argentina","2002","Thousand metric tons","271.372","2"
"Argentina","2001","Thousand metric tons","224.516","2"
"Argentina","2000","Thousand metric tons","223.51","2"
"Argentina","1999","Thousand metric tons","256.075","2"
"Argentina","1998","Thousand metric tons","278.846","2"
"Argentina","1997","Thousand metric tons","364.691","2"
"Argentina","1996","Thousand metric tons","328.597","2"
"Argentina","1995","Thousand metric tons","373.833","2"
"Armenia","2016","Thousand metric tons","0.6786",""
"Armenia","2015","Thousand metric tons","0.0273",""
"Australia","2003","Thousand metric tons","17.332","2"
"Australia","2002","Thousand metric tons","19.327","2"
"Australia","2001","Thousand metric tons","16.387","2"
"Australia","2000","Thousand metric tons","16.913","2"
"Australia","1999","Thousand metric tons","19.451","2"
"Australia","1998","Thousand metric tons","16.62","2"
"Australia","1997","Thousand metric tons","12.127","2"
"Australia","1996","Thousand metric tons","8.994","2"
"Australia","1995","Thousand metric tons","13.714","2"
"Austria","1995","Thousand metric tons","0","2"
"Azerbaijan","2016","Mil. USD","1.94269479867463",""
"Azerbaijan","2016","Thousand metric tons","0.4238",""
"Azerbaijan","2015","Mil. USD","0.292807528859264",""
"Azerbaijan","2015","Thousand metric tons","0.3101",""
"Azerbaijan","2014","Mil. USD","1.27494509767673",""
"Azerbaijan","2014","Thousand metric tons","0.312",""
"Azerbaijan","2013","Mil. USD","0.382389156616178",""
"Azerbaijan","2013","Thousand metric tons","0.1628",""
"Azerbaijan","2012","Mil. USD","0.381851676458329",""
"Azerbaijan","2012","Thousand metric tons","0.1805",""
"Azerbaijan","2011","Mil. USD","1.13969294738163",""
"Azerbaijan","2011","Thousand metric tons","0.9669",""
"Azerbaijan","2010","Mil. USD","1.12129156176188",""
"Azerbaijan","2010","Thousand metric tons","0.6773",""
"Azerbaijan","2009","Mil. USD","1.19435171169677",""
"Azerbaijan","2009","Thousand metric tons","1.2298",""
"Azerbaijan","2008","Mil. USD","1.42401669837674",""
"Azerbaijan","2008","Thousand metric tons","1.2218",""
"Azerbaijan","2007","Mil. USD","1.68973286380159",""
"Azerbaijan","2007","Thousand metric tons","1.5392",""
"Azerbaijan","2006","Mil. USD","0.559631538594989",""
"Azerbaijan","2006","Thousand metric tons","0.8637",""
"Azerbaijan","2005","Mil. USD","0.658965688301825",""
"Azerbaijan","2005","Thousand metric tons","3.2696",""
"Azerbaijan","2004","Mil. USD","1.50606164371364",""
"Azerbaijan","2004","Thousand metric tons","2.651",""
"Azerbaijan","2003","Mil. USD","0.264726425602711",""
"Azerbaijan","2003","Thousand metric tons","1.1855",""
"Azerbaijan","2002","Mil. USD","0.42173946958547",""
"Azerbaijan","2002","Thousand metric tons","1.7546",""
"Azerbaijan","2001","Mil. USD","1.09522360815333",""
"Azerbaijan","2001","Thousand metric tons","1.7237",""
"Azerbaijan","2000","Mil. USD","0.290557739550189",""
"Azerbaijan","2000","Thousand metric tons","2.1424",""
"Azerbaijan","1999","Thousand metric tons","3.237",""
"Azerbaijan","1998","Thousand metric tons","2.411",""
"Azerbaijan","1997","Thousand metric tons","3.382",""
"Azerbaijan","1996","Thousand metric tons","2.909",""
"Azerbaijan","1995","Thousand metric tons","3.244",""
"Bahamas","2003","Thousand metric tons","0.03","1,2"
"Bahamas","2002","Thousand metric tons","0.03","1,2"
"Bahamas","2001","Thousand metric tons","0.032","2"
"Bahamas","2000","Thousand metric tons","0.027","2"
"Bahamas","1999","Thousand metric tons","0.036","2"
"Bahamas","1998","Thousand metric tons","0.049","2"
"Bahamas","1997","Thousand metric tons","0.068","2"
"Bahamas","1996","Thousand metric tons","0.052","2"
"Bahamas","1995","Thousand metric tons","0.061","2"
"Bahrain","2003","Thousand metric tons","0.715","2"
"Bahrain","2002","Thousand metric tons","0.735","2"
"Bahrain","2001","Thousand metric tons","0.318","2"
"Bahrain","2000","Thousand metric tons","0.158","2"
"Bahrain","1999","Thousand metric tons","0.446","2"
"Bahrain","1998","Thousand metric tons","0.576","2"
"Bahrain","1997","Thousand metric tons","0.172","2"
"Bahrain","1996","Thousand metric tons","0.248","2"
"Bahrain","1995","Thousand metric tons","0.158","2"
"Bangladesh","2003","Thousand metric tons","14.187","2"
"Bangladesh","2002","Thousand metric tons","13.534",""
"Bangladesh","2001","Thousand metric tons","13.778","2"
"Bangladesh","2000","Thousand metric tons","13.291","2"
"Bangladesh","1999","Thousand metric tons","12.419","2"
"Bangladesh","1998","Thousand metric tons","11.658","2"
"Bangladesh","1997","Thousand metric tons","11.21","2"
"Bangladesh","1996","Thousand metric tons","10.74","2"
"Bangladesh","1995","Thousand metric tons","9.267","2"
"Barbados","1997","Thousand metric tons","0","2"
"Barbados","1996","Thousand metric tons","0.024","2"
"Barbados","1995","Thousand metric tons","0.033","2"
"Belarus","2016","Thousand metric tons","1.506",""
"Belarus","2015","Thousand metric tons","2.732",""
"Belarus","2014","Thousand metric tons","4.347",""
"Belarus","2013","Thousand metric tons","3.031","3"
"Belarus","2012","Thousand metric tons","0.781",""
"Belarus","2011","Thousand metric tons","0.712",""
"Belarus","2010","Thousand metric tons","0.591",""
"Belarus","2009","Thousand metric tons","0.213",""
"Belarus","2008","Thousand metric tons","0.312",""
"Belarus","2007","Thousand metric tons","0.388",""
"Belarus","2006","Thousand metric tons","0.034",""
"Belarus","2005","Thousand metric tons","0.014",""
"Belarus","2004","Thousand metric tons","0.02",""
"Belarus","2003","Thousand metric tons","0.067",""
"Belarus","2002","Thousand metric tons","0.083",""
"Belarus","2001","Thousand metric tons","0.023",""
"Belarus","1997","Thousand metric tons","0.01",""
"Belarus","1996","Thousand metric tons","0.1",""
"Belarus","1995","Thousand metric tons","0.255","2"
"Belgium","2003","Thousand metric tons","5.8712","4"
"Belgium","2002","Thousand metric tons","5.6","4"
"Belgium","2001","Thousand metric tons","5.6814","4"
"Belgium","2000","Thousand metric tons","6.0319","4"
"Belgium","1999","Thousand metric tons","6.0636","4"
"Belgium","1998","Thousand metric tons","4.112","4"
"Belgium","1997","Thousand metric tons","4.042","4"
"Belgium","1996","Thousand metric tons","4.043","4"
