Region/Country/Area,,Year,Series,System of trade,System of trade footnote,Value,Footnotes,Source,,
1,"Total, all countries or areas",1995,Imports CIF (millions of US dollars),,,5099057,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
1,"Total, all countries or areas",2005,Imports CIF (millions of US dollars),,,10577013,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
1,"Total, all countries or areas",2010,Imports CIF (millions of US dollars),,,15275115,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
1,"Total, all countries or areas",2015,Imports CIF (millions of US dollars),,,16482346,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
1,"Total, all countries or areas",2018,Imports CIF (millions of US dollars),,,19448147,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
1,"Total, all countries or areas",2019,Imports CIF (millions of US dollars),,,18870155,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
1,"Total, all countries or areas",2020,Imports CIF (millions of US dollars),,,17552638,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
1,"Total, all countries or areas",1995,Exports FOB (millions of US dollars),,,5050238,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
1,"Total, all countries or areas",2005,Exports FOB (millions of US dollars),,,10373445,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
1,"Total, all countries or areas",2010,Exports FOB (millions of US dollars),,,15102218,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
1,"Total, all countries or areas",2015,Exports FOB (millions of US dollars),,,16384279,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
