Region/Country/Area,,Year,Series,Value,Footnotes,Source
1,"Total, all countries or areas",1995,GDP in current prices (millions of US dollars),31140783,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
1,"Total, all countries or areas",2005,GDP in current prices (millions of US dollars),47623151,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
1,"Total, all countries or areas",2010,GDP in current prices (millions of US dollars),66272559,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
1,"Total, all countries or areas",2015,GDP in current prices (millions of US dollars),74985744,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
1,"Total, all countries or areas",2017,GDP in current prices (millions of US dollars),81056929,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
1,"Total, all countries or areas",2018,GDP in current prices (millions of US dollars),86115347,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
1,"Total, all countries or areas",2019,GDP in current prices (millions of US dollars),87445261,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
1,"Total, all countries or areas",1995,GDP per capita (US dollars),5423,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
1,"Total, all countries or areas",2005,GDP per capita (US dollars),7282,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
1,"Total, all countries or areas",2010,GDP per capita (US dollars),9529,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
1,"Total, all countries or areas",2015,GDP per capita (US dollars),10163,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
1,"Total, all countries or areas",2017,GDP per capita (US dollars),10742,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
1,"Total, all countries or areas",2018,GDP per capita (US dollars),11288,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
1,"Total, all countries or areas",2019,GDP per capita (US dollars),11339,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
1,"Total, all countries or areas",1995,GDP in constant 2010 prices (millions of US dollars),40269916,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
1,"Total, all countries or areas",2005,GDP in constant 2010 prices (millions of US dollars),56427035,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
1,"Total, all countries or areas",2010,GDP in constant 2010 prices (millions of US dollars),64773605,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
1,"Total, all countries or areas",2015,GDP in constant 2010 prices (millions of US dollars),74985744,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
1,"Total, all countries or areas",2017,GDP in constant 2010 prices (millions of US dollars),79596968,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
1,"Total, all countries or areas",2018,GDP in constant 2010 prices (millions of US dollars),82091488,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
