Region/Country/Area,,Year,Series,Value,Footnotes,Source,,
4,Afghanistan,2005,Current health expenditure (% of GDP),9.9,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
4,Afghanistan,2010,Current health expenditure (% of GDP),8.6,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
4,Afghanistan,2016,Current health expenditure (% of GDP),11,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
4,Afghanistan,2017,Current health expenditure (% of GDP),11.8,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
4,Afghanistan,2018,Current health expenditure (% of GDP),9.4,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
4,Afghanistan,2005,Domestic general government health expenditure (% of total government expenditure),3.4,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
4,Afghanistan,2010,Domestic general government health expenditure (% of total government expenditure),2.3,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
4,Afghanistan,2016,Domestic general government health expenditure (% of total government expenditure),2.1,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
4,Afghanistan,2017,Domestic general government health expenditure (% of total government expenditure),2.3,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
4,Afghanistan,2018,Domestic general government health expenditure (% of total government expenditure),1.8,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
8,Albania,2000,Current health expenditure (% of GDP),7.2,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
8,Albania,2005,Current health expenditure (% of GDP),6.3,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
8,Albania,2010,Current health expenditure (% of GDP),4.7,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
