Region/Country/Area,,Year,Series,Value,Footnotes,Source
4,Afghanistan,2001,Health personnel: Physicians (number),4104,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed June 2021."
4,Afghanistan,2001,Health personnel: Physicians (per 1000 population),0.2,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed June 2021."
4,Afghanistan,2001,Health personnel: Pharmacists (number),525,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed June 2021."
4,Afghanistan,2001,Health personnel: Pharmacists (per 1000 population),0,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed June 2021."
4,Afghanistan,2005,Health personnel: Pharmacists (number),900,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed June 2021."
4,Afghanistan,2005,Health personnel: Pharmacists (per 1000 population),0,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed June 2021."
4,Afghanistan,2005,Health personnel: Nurses and midwives (number),14930,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed June 2021."
4,Afghanistan,2005,Health personnel: Nurses and midwives personnel (per 1000 population),0.6,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed June 2021."
4,Afghanistan,2008,Health personnel: Physicians (number),4834,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed June 2021."
4,Afghanistan,2008,Health personnel: Physicians (per 1000 population),0.2,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed June 2021."
4,Afghanistan,2008,Health personnel: Dentists (number),382,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed June 2021."
4,Afghanistan,2008,Health personnel: Dentists (per 1000 population),0,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed June 2021."
4,Afghanistan,2008,Health personnel: Pharmacists (number),829,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed June 2021."
4,Afghanistan,2008,Health personnel: Pharmacists (per 1000 population),0,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed June 2021."
4,Afghanistan,2008,Health personnel: Nurses and midwives (number),13780,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed June 2021."
4,Afghanistan,2008,Health personnel: Nurses and midwives personnel (per 1000 population),0.5,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed June 2021."
4,Afghanistan,2009,Health personnel: Physicians (number),6037,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed June 2021."
4,Afghanistan,2009,Health personnel: Physicians (per 1000 population),0.2,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed June 2021."
4,Afghanistan,2009,Health personnel: Pharmacists (number),847,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed June 2021."
4,Afghanistan,2009,Health personnel: Pharmacists (per 1000 population),0,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed June 2021."
4,Afghanistan,2009,Health personnel: Nurses and midwives (number),17257,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed June 2021."
4,Afghanistan,2009,Health personnel: Nurses and midwives personnel (per 1000 population),0.6,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed June 2021."
4,Afghanistan,2010,Health personnel: Physicians (number),6901,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed June 2021."
4,Afghanistan,2010,Health personnel: Physicians (per 1000 population),0.2,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed June 2021."
4,Afghanistan,2010,Health personnel: Pharmacists (number),814,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed June 2021."
4,Afghanistan,2010,Health personnel: Pharmacists (per 1000 population),0,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed June 2021."
4,Afghanistan,2015,Health personnel: Physicians (number),9808,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed June 2021."
4,Afghanistan,2015,Health personnel: Physicians (per 1000 population),0.3,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed June 2021."
4,Afghanistan,2015,Health personnel: Dentists (number),123,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed June 2021."
4,Afghanistan,2015,Health personnel: Dentists (per 1000 population),0,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed June 2021."
4,Afghanistan,2015,Health personnel: Pharmacists (number),1712,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed June 2021."
4,Afghanistan,2015,Health personnel: Pharmacists (per 1000 population),0,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed June 2021."
4,Afghanistan,2015,Health personnel: Nurses and midwives (number),4471,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed June 2021."
4,Afghanistan,2015,Health personnel: Nurses and midwives personnel (per 1000 population),0.1,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed June 2021."
4,Afghanistan,2016,Health personnel: Physicians (number),9842,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed June 2021."
4,Afghanistan,2016,Health personnel: Physicians (per 1000 population),0.3,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed June 2021."
4,Afghanistan,2016,Health personnel: Dentists (number),120,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed June 2021."
4,Afghanistan,2016,Health personnel: Dentists (per 1000 population),0,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed June 2021."
4,Afghanistan,2016,Health personnel: Pharmacists (number),1675,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed June 2021."
4,Afghanistan,2016,Health personnel: Pharmacists (per 1000 population),0,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed June 2021."
4,Afghanistan,2016,Health personnel: Nurses and midwives (number),5243,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed June 2021."
4,Afghanistan,2016,Health personnel: Nurses and midwives personnel (per 1000 population),0.1,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed June 2021."
4,Afghanistan,2018,Health personnel: Dentists (number),880,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed June 2021."
4,Afghanistan,2018,Health personnel: Dentists (per 1000 population),0,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed June 2021."
4,Afghanistan,2018,Health personnel: Pharmacists (number),1073,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed June 2021."
4,Afghanistan,2018,Health personnel: Pharmacists (per 1000 population),0,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed June 2021."
4,Afghanistan,2018,Health personnel: Nurses and midwives (number),16581,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed June 2021."
4,Afghanistan,2018,Health personnel: Nurses and midwives personnel (per 1000 population),0.4,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed June 2021."
4,Afghanistan,2019,Health personnel: Dentists (number),2697,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed June 2021."
4,Afghanistan,2019,Health personnel: Dentists (per 1000 population),0.1,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed June 2021."
8,Albania,2003,Health personnel: Physicians (number),3699,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed June 2021."
8,Albania,2003,Health personnel: Physicians (per 1000 population),1.2,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed June 2021."
8,Albania,2003,Health personnel: Dentists (number),1350,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed June 2021."
8,Albania,2003,Health personnel: Dentists (per 1000 population),0.4,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed June 2021."
8,Albania,2003,Health personnel: Pharmacists (number),1100,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed June 2021."
8,Albania,2003,Health personnel: Pharmacists (per 1000 population),0.4,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed June 2021."
8,Albania,2003,Health personnel: Nurses and midwives (number),11238,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed June 2021."
8,Albania,2003,Health personnel: Nurses and midwives personnel (per 1000 population),3.6,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed June 2021."
