Region/Country/Area,,Year,Series,Capital City,Capital City footnote,Value,Footnotes,Source,
1,"Total, all countries or areas",2005,Urban population (percent),,,49.2,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
1,"Total, all countries or areas",2005,Urban population (percent growth rate per annum),,,2.3,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
1,"Total, all countries or areas",2005,Rural population (percent growth rate per annum),,,0.3,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
1,"Total, all countries or areas",2010,Urban population (percent),,,51.7,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
1,"Total, all countries or areas",2010,Urban population (percent growth rate per annum),,,2.2,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
1,"Total, all countries or areas",2010,Rural population (percent growth rate per annum),,,0.2,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
1,"Total, all countries or areas",2015,Urban population (percent),,,53.9,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
1,"Total, all countries or areas",2015,Urban population (percent growth rate per annum),,,2,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
1,"Total, all countries or areas",2015,Rural population (percent growth rate per annum),,,0.2,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
1,"Total, all countries or areas",2018,Urban population (percent),,,55.3,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
2,Africa,2005,Urban population (percent),,,36.9,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
2,Africa,2005,Urban population (percent growth rate per annum),,,3.5,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
2,Africa,2005,Rural population (percent growth rate per annum),,,1.9,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
2,Africa,2010,Urban population (percent),,,38.9,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
2,Africa,2010,Urban population (percent growth rate per annum),,,3.6,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
2,Africa,2010,Rural population (percent growth rate per annum),,,1.9,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
2,Africa,2015,Urban population (percent),,,41.2,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
