Region/Country/Area,,Year,Series,Value,Footnotes,Source
1,"Total, all countries or areas",1985,Grants of patents (number),397580,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
1,"Total, all countries or areas",1995,Grants of patents (number),430500,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
1,"Total, all countries or areas",2005,Grants of patents (number),633100,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
1,"Total, all countries or areas",2010,Grants of patents (number),914900,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
1,"Total, all countries or areas",2017,Grants of patents (number),1397900,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
1,"Total, all countries or areas",2018,Grants of patents (number),1423000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
1,"Total, all countries or areas",2019,Grants of patents (number),1500900,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
2,Africa,2005,Grants of patents (number),4800,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
2,Africa,2010,Grants of patents (number),9600,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
2,Africa,2017,Grants of patents (number),9300,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
2,Africa,2018,Grants of patents (number),8900,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
2,Africa,2019,Grants of patents (number),9900,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
419,Latin America & the Caribbean,2005,Grants of patents (number),14200,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
419,Latin America & the Caribbean,2010,Grants of patents (number),17200,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
419,Latin America & the Caribbean,2017,Grants of patents (number),20400,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
419,Latin America & the Caribbean,2018,Grants of patents (number),24800,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
419,Latin America & the Caribbean,2019,Grants of patents (number),26800,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
142,Asia,2005,Grants of patents (number),288700,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
142,Asia,2010,Grants of patents (number),469700,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
142,Asia,2017,Grants of patents (number),796300,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
142,Asia,2018,Grants of patents (number),812000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
142,Asia,2019,Grants of patents (number),829700,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
150,Europe,2005,Grants of patents (number),150900,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
150,Europe,2010,Grants of patents (number),160800,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
150,Europe,2017,Grants of patents (number),203800,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
150,Europe,2018,Grants of patents (number),226900,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
150,Europe,2019,Grants of patents (number),239400,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
9,Oceania,2005,Grants of patents (number),15200,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
9,Oceania,2010,Grants of patents (number),18900,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
9,Oceania,2017,Grants of patents (number),25200,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
9,Oceania,2018,Grants of patents (number),19100,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
9,Oceania,2019,Grants of patents (number),18700,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
8,Albania,2017,Resident patent filings (per million population),6,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
8,Albania,2018,Resident patent filings (per million population),5,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
8,Albania,2019,Resident patent filings (per million population),2,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
8,Albania,2005,Grants of patents (number),395,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
8,Albania,2010,Grants of patents (number),349,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
8,Albania,2017,Grants of patents (number),10,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
8,Albania,2018,Grants of patents (number),12,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
8,Albania,2019,Grants of patents (number),2,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
8,Albania,2010,Patents in force (number),349,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
8,Albania,2017,Patents in force (number),4946,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
8,Albania,2018,Patents in force (number),5021,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
8,Albania,2019,Patents in force (number),6017,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
12,Algeria,1995,Resident patent filings (per million population),1,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
12,Algeria,2005,Resident patent filings (per million population),2,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
12,Algeria,2010,Resident patent filings (per million population),2,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
12,Algeria,2017,Resident patent filings (per million population),4,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
12,Algeria,2018,Resident patent filings (per million population),4,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
12,Algeria,2019,Resident patent filings (per million population),3,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
12,Algeria,1995,Grants of patents (number),118,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
12,Algeria,2005,Grants of patents (number),443,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
12,Algeria,2010,Grants of patents (number),1076,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
12,Algeria,2017,Grants of patents (number),256,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
12,Algeria,2018,Grants of patents (number),162,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
12,Algeria,2019,Grants of patents (number),140,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
12,Algeria,2005,Patents in force (number),498,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
12,Algeria,2017,Patents in force (number),2171,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
12,Algeria,2018,Patents in force (number),2084,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
12,Algeria,2019,Patents in force (number),4496,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
20,Andorra,2018,Resident patent filings (per million population),13,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
20,Andorra,2019,Resident patent filings (per million population),39,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
20,Andorra,2017,Grants of patents (number),4,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
20,Andorra,2018,Grants of patents (number),6,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
20,Andorra,2019,Grants of patents (number),11,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
20,Andorra,2017,Patents in force (number),4,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
20,Andorra,2018,Patents in force (number),10,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
20,Andorra,2019,Patents in force (number),20,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
28,Antigua and Barbuda,2018,Resident patent filings (per million population),52,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
28,Antigua and Barbuda,2018,Patents in force (number),78,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
32,Argentina,1995,Resident patent filings (per million population),19,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
32,Argentina,2005,Resident patent filings (per million population),27,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
32,Argentina,2010,Resident patent filings (per million population),14,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
32,Argentina,2017,Resident patent filings (per million population),9,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
32,Argentina,2018,Resident patent filings (per million population),10,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
32,Argentina,2019,Resident patent filings (per million population),10,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
32,Argentina,1995,Grants of patents (number),1003,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
32,Argentina,2005,Grants of patents (number),1798,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
32,Argentina,2010,Grants of patents (number),1366,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
32,Argentina,2017,Grants of patents (number),2302,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
32,Argentina,2018,Grants of patents (number),1525,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
32,Argentina,2019,Grants of patents (number),2177,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
32,Argentina,2017,Patents in force (number),13115,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
