Region/Country/Area,,Year,Series,Tourism arrivals series type,Tourism arrivals series type footnote,Value,Footnotes,Source,,
4,Afghanistan,2010,Tourism expenditure (millions of US dollars),,,147,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
4,Afghanistan,2017,Tourism expenditure (millions of US dollars),,,16,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
4,Afghanistan,2018,Tourism expenditure (millions of US dollars),,,50,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
4,Afghanistan,2019,Tourism expenditure (millions of US dollars),,,85,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
8,Albania,2010,Tourist/visitor arrivals (thousands),TF,,2191,Excluding nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
8,Albania,2017,Tourist/visitor arrivals (thousands),TF,,4643,Excluding nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
8,Albania,2018,Tourist/visitor arrivals (thousands),TF,,5340,Excluding nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
8,Albania,2019,Tourist/visitor arrivals (thousands),TF,,6128,Excluding nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
8,Albania,1995,Tourism expenditure (millions of US dollars),,,70,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
8,Albania,2005,Tourism expenditure (millions of US dollars),,,880,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
8,Albania,2010,Tourism expenditure (millions of US dollars),,,1778,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
8,Albania,2017,Tourism expenditure (millions of US dollars),,,2050,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
8,Albania,2018,Tourism expenditure (millions of US dollars),,,2306,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
8,Albania,2019,Tourism expenditure (millions of US dollars),,,2458,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
12,Algeria,1995,Tourist/visitor arrivals (thousands),VF,,520,Including nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
12,Algeria,2005,Tourist/visitor arrivals (thousands),VF,,1443,Including nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
12,Algeria,2010,Tourist/visitor arrivals (thousands),VF,,2070,Including nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
12,Algeria,2017,Tourist/visitor arrivals (thousands),VF,,2451,Including nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
12,Algeria,2018,Tourist/visitor arrivals (thousands),VF,,2657,Including nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
12,Algeria,2019,Tourist/visitor arrivals (thousands),VF,,2371,Including nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
12,Algeria,2005,Tourism expenditure (millions of US dollars),,,477,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
12,Algeria,2010,Tourism expenditure (millions of US dollars),,,324,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
12,Algeria,2017,Tourism expenditure (millions of US dollars),,,172,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
16,American Samoa,1995,Tourist/visitor arrivals (thousands),TF,,34,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
16,American Samoa,2005,Tourist/visitor arrivals (thousands),TF,,25,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
16,American Samoa,2010,Tourist/visitor arrivals (thousands),TF,,23,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
16,American Samoa,2017,Tourist/visitor arrivals (thousands),TF,,20,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
16,American Samoa,2018,Tourist/visitor arrivals (thousands),TF,,20,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
16,American Samoa,2017,Tourism expenditure (millions of US dollars),,,22,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
20,Andorra,2005,Tourist/visitor arrivals (thousands),TF,,2418,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
20,Andorra,2010,Tourist/visitor arrivals (thousands),TF,,1808,Break in the time series.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
20,Andorra,2017,Tourist/visitor arrivals (thousands),TF,,3003,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
20,Andorra,2018,Tourist/visitor arrivals (thousands),TF,,3042,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
24,Angola,1995,Tourist/visitor arrivals (thousands),TF,,9,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
24,Angola,2005,Tourist/visitor arrivals (thousands),TF,,210,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
24,Angola,2010,Tourist/visitor arrivals (thousands),TF,,425,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
24,Angola,2017,Tourist/visitor arrivals (thousands),TF,,261,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
24,Angola,2018,Tourist/visitor arrivals (thousands),TF,,218,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
24,Angola,2019,Tourist/visitor arrivals (thousands),TF,,218,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
24,Angola,1995,Tourism expenditure (millions of US dollars),,,27,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
